[2025-09-13 12:25:36] ✅ Đã lưu text từ 000000014195917_BAO_CAO_TAI_CHINH_Q3_2024_MCF_NEW.pdf vào folder_2.5_txt\000000014195917_BAO_CAO_TAI_CHINH_Q3_2024_MCF_NEW.txt
[2025-09-13 12:25:41] ✅ Đã lưu text từ 000000014196796_TOAN_VAN_BCTC_QUI_3__2024_SIGN.pdf vào folder_2.5_txt\000000014196796_TOAN_VAN_BCTC_QUI_3__2024_SIGN.txt
[2025-09-13 12:25:52] ✅ Đã lưu text từ 000000014197242_Cong_van_so_296_vv_Cong_bo_thong_tin_ve_bao_cao_tai_chinh_Quy_III_nam_2024..pdf vào folder_2.5_txt\000000014197242_Cong_van_so_296_vv_Cong_bo_thong_tin_ve_bao_cao_tai_chinh_Quy_III_nam_2024..txt
[2025-09-13 12:26:00] ✅ Đã lưu text từ 000000014197681_Bao_cao_tai_chinh_toan_cong_ty_9_thang_dau_nam_2024_compressed.pdf vào folder_2.5_txt\000000014197681_Bao_cao_tai_chinh_toan_cong_ty_9_thang_dau_nam_2024_compressed.txt
[2025-09-13 12:26:02] ✅ Đã lưu text từ 000000014198573_BCTC_Quy_3.2024_daky.pdf vào folder_2.5_txt\000000014198573_BCTC_Quy_3.2024_daky.txt
[2025-09-13 12:26:05] ✅ Đã lưu text từ 000000014197774_BCTC_Q3.2024_full.pdf vào folder_2.5_txt\000000014197774_BCTC_Q3.2024_full.txt
[2025-09-13 12:26:19] ✅ Đã lưu text từ 000000014199383_BCTC_Quy_3.20241.pdf vào folder_2.5_txt\000000014199383_BCTC_Quy_3.20241.txt
[2025-09-13 12:26:30] ✅ Đã lưu text từ 000000014199632_bao_cao_tai_chinh_quy_III.2024.pdf vào folder_2.5_txt\000000014199632_bao_cao_tai_chinh_quy_III.2024.txt
[2025-09-13 12:26:32] ✅ Đã lưu text từ 000000014198765_CBTT_BCTC_HN_Q3.2024_signed.pdf vào folder_2.5_txt\000000014198765_CBTT_BCTC_HN_Q3.2024_signed.txt
[2025-09-13 12:26:37] ✅ Đã lưu text từ 000000014198790_CBTT_BCTC_CTY_ME_Q3.2024_signed.pdf vào folder_2.5_txt\000000014198790_CBTT_BCTC_CTY_ME_Q3.2024_signed.txt
[2025-09-13 12:26:42] ✅ Đã lưu text từ 000000014199942_TMDCBTT_BCTC_Quy_III.2024_1.pdf vào folder_2.5_txt\000000014199942_TMDCBTT_BCTC_Quy_III.2024_1.txt
[2025-09-13 12:26:57] ✅ Đã lưu text từ 000000014200170_BCTC_Q32024.pdf vào folder_2.5_txt\000000014200170_BCTC_Q32024.txt
[2025-09-13 12:26:59] ✅ Đã lưu text từ 000000014200109_574__CBTT__BCTC_Quy_32024_DAKY.pdf vào folder_2.5_txt\000000014200109_574__CBTT__BCTC_Quy_32024_DAKY.txt
[2025-09-13 12:27:05] ✅ Đã lưu text từ 000000014200604_20241019__BMJ__Bao_cao_tai_chinh_quy_3_nam_2024.pdf vào folder_2.5_txt\000000014200604_20241019__BMJ__Bao_cao_tai_chinh_quy_3_nam_2024.txt
[2025-09-13 12:27:13] ✅ Đã lưu text từ 000000014200929_CBTTBCTC_Quy_III_1_signed.pdf vào folder_2.5_txt\000000014200929_CBTTBCTC_Quy_III_1_signed.txt
[2025-09-13 12:27:21] ✅ Đã lưu text từ 000000014201012_Bao_Cao_Tai_Chinh_Tong_Hop__Quy_III__Nam_2024.pdf vào folder_2.5_txt\000000014201012_Bao_Cao_Tai_Chinh_Tong_Hop__Quy_III__Nam_2024.txt
[2025-09-13 12:27:31] ✅ Đã lưu text từ 000000014201285_DK_BCTC_TMC_Quy_32024.pdf vào folder_2.5_txt\000000014201285_DK_BCTC_TMC_Quy_32024.txt
[2025-09-13 12:27:32] ✅ Đã lưu text từ 000000014201187_cong_bo_thong_tin_bao_cao_quy_3_2024da_gop_sign.pdf vào folder_2.5_txt\000000014201187_cong_bo_thong_tin_bao_cao_quy_3_2024da_gop_sign.txt
